evaluations raw_y
1 32.0000000000
2 34.0000000000
12 36.0000000000
46 38.0000000000
74 39.0000000000
275 41.0000000000
748 43.0000000000
1000 27.0000000000
evaluations raw_y
1 36.0000000000
12 38.0000000000
157 39.0000000000
212 41.0000000000
511 42.0000000000
1000 28.0000000000
evaluations raw_y
1 19.0000000000
2 34.0000000000
4 35.0000000000
10 38.0000000000
20 39.0000000000
193 40.0000000000
329 44.0000000000
1000 26.0000000000
evaluations raw_y
1 28.0000000000
3 34.0000000000
12 36.0000000000
57 40.0000000000
340 41.0000000000
1000 24.0000000000
evaluations raw_y
1 26.0000000000
2 29.0000000000
8 31.0000000000
11 32.0000000000
13 33.0000000000
18 37.0000000000
134 38.0000000000
216 39.0000000000
354 40.0000000000
471 42.0000000000
1000 27.0000000000
evaluations raw_y
1 30.0000000000
3 32.0000000000
4 35.0000000000
21 36.0000000000
87 38.0000000000
259 39.0000000000
459 41.0000000000
1000 26.0000000000
evaluations raw_y
1 29.0000000000
2 31.0000000000
12 34.0000000000
16 36.0000000000
21 39.0000000000
104 40.0000000000
142 41.0000000000
251 42.0000000000
1000 26.0000000000
evaluations raw_y
1 26.0000000000
2 32.0000000000
10 33.0000000000
14 34.0000000000
21 35.0000000000
75 37.0000000000
178 39.0000000000
225 40.0000000000
1000 27.0000000000
evaluations raw_y
1 32.0000000000
2 33.0000000000
7 35.0000000000
25 36.0000000000
27 37.0000000000
127 39.0000000000
245 43.0000000000
1000 38.0000000000
evaluations raw_y
1 36.0000000000
64 38.0000000000
82 43.0000000000
1000 29.0000000000
