evaluations raw_y
1 48.0000000000
3 54.0000000000
7 55.0000000000
28 57.0000000000
38 61.0000000000
291 63.0000000000
309 64.0000000000
2035 65.0000000000
2037 66.0000000000
2097 70.0000000000
2164 71.0000000000
4016 76.0000000000
4710 79.0000000000
6180 81.0000000000
6472 82.0000000000
6570 83.0000000000
8071 87.0000000000
10227 90.0000000000
10609 91.0000000000
12215 92.0000000000
12771 93.0000000000
14135 94.0000000000
14331 97.0000000000
14928 99.0000000000
18859 100.0000000000
19000 89.0000000000
evaluations raw_y
1 56.0000000000
3 57.0000000000
5 59.0000000000
43 60.0000000000
44 61.0000000000
126 62.0000000000
231 63.0000000000
265 64.0000000000
417 67.0000000000
2033 71.0000000000
2725 73.0000000000
4003 75.0000000000
4241 80.0000000000
6276 82.0000000000
6904 84.0000000000
8094 85.0000000000
8161 86.0000000000
8468 91.0000000000
12205 92.0000000000
12415 93.0000000000
14240 95.0000000000
14665 96.0000000000
16422 97.0000000000
18202 98.0000000000
20045 99.0000000000
20150 100.0000000000
21000 93.0000000000
evaluations raw_y
1 54.0000000000
2 55.0000000000
3 56.0000000000
10 59.0000000000
64 61.0000000000
139 63.0000000000
185 64.0000000000
1993 65.0000000000
2029 67.0000000000
2048 68.0000000000
2106 70.0000000000
2421 73.0000000000
4061 74.0000000000
4430 76.0000000000
4437 77.0000000000
5000 57.0000000000
