evaluations raw_y
1 31.0000000000
3 32.0000000000
4 36.0000000000
54 38.0000000000
72 40.0000000000
684 41.0000000000
849 42.0000000000
1000 30.0000000000
evaluations raw_y
1 31.0000000000
4 35.0000000000
18 36.0000000000
41 37.0000000000
59 40.0000000000
566 43.0000000000
1000 29.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
7 34.0000000000
16 36.0000000000
30 41.0000000000
1000 30.0000000000
evaluations raw_y
1 33.0000000000
2 34.0000000000
3 35.0000000000
9 36.0000000000
16 37.0000000000
64 38.0000000000
140 39.0000000000
230 41.0000000000
1000 28.0000000000
evaluations raw_y
1 28.0000000000
5 30.0000000000
9 32.0000000000
12 33.0000000000
14 34.0000000000
17 35.0000000000
29 38.0000000000
105 39.0000000000
343 40.0000000000
405 44.0000000000
514 24.0000000000
