evaluations raw_y
1 28.0000000000
2 29.0000000000
5 35.0000000000
8 37.0000000000
45 38.0000000000
200 40.0000000000
288 44.0000000000
1000 24.0000000000
evaluations raw_y
1 33.0000000000
5 34.0000000000
21 36.0000000000
62 38.0000000000
69 39.0000000000
195 41.0000000000
1000 22.0000000000
evaluations raw_y
1 25.0000000000
2 30.0000000000
3 32.0000000000
5 34.0000000000
9 36.0000000000
43 39.0000000000
44 40.0000000000
450 41.0000000000
564 42.0000000000
1000 29.0000000000
evaluations raw_y
1 27.0000000000
2 34.0000000000
3 38.0000000000
173 39.0000000000
261 42.0000000000
353 43.0000000000
1000 30.0000000000
evaluations raw_y
1 34.0000000000
2 37.0000000000
21 38.0000000000
61 41.0000000000
93 42.0000000000
126 34.0000000000
