evaluations raw_y
1 17.0000000000
2 24.0000000000
3 27.0000000000
5 30.0000000000
9 31.0000000000
10 32.0000000000
20 36.0000000000
207 39.0000000000
1000 22.0000000000
evaluations raw_y
1 26.0000000000
2 33.0000000000
52 34.0000000000
54 36.0000000000
61 37.0000000000
223 38.0000000000
1000 25.0000000000
evaluations raw_y
1 31.0000000000
4 34.0000000000
41 37.0000000000
44 39.0000000000
586 40.0000000000
1000 27.0000000000
evaluations raw_y
1 25.0000000000
2 31.0000000000
6 35.0000000000
55 39.0000000000
98 40.0000000000
526 41.0000000000
1000 29.0000000000
evaluations raw_y
1 22.0000000000
2 23.0000000000
3 33.0000000000
48 34.0000000000
66 35.0000000000
86 37.0000000000
749 38.0000000000
1000 26.0000000000
evaluations raw_y
1 25.0000000000
2 30.0000000000
6 31.0000000000
18 33.0000000000
19 37.0000000000
236 38.0000000000
749 40.0000000000
1000 25.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
3 33.0000000000
20 34.0000000000
43 35.0000000000
48 36.0000000000
85 38.0000000000
960 39.0000000000
1000 26.0000000000
evaluations raw_y
1 28.0000000000
5 29.0000000000
6 30.0000000000
8 34.0000000000
39 38.0000000000
516 39.0000000000
1000 26.0000000000
evaluations raw_y
1 22.0000000000
2 32.0000000000
5 34.0000000000
32 36.0000000000
33 37.0000000000
190 39.0000000000
1000 24.0000000000
evaluations raw_y
1 20.0000000000
2 23.0000000000
3 30.0000000000
4 32.0000000000
10 33.0000000000
44 34.0000000000
132 38.0000000000
255 41.0000000000
1000 28.0000000000
