evaluations raw_y
1 0.6166666667
7 0.6833333333
90 0.7000000000
1000 0.5166666667
evaluations raw_y
1 0.6166666667
27 0.6333333333
31 0.6666666667
86 0.7000000000
755 0.7333333333
1000 0.4666666667
evaluations raw_y
1 0.4000000000
2 0.5666666667
4 0.6333333333
14 0.6666666667
221 0.6833333333
234 0.7166666667
1000 0.4666666667
evaluations raw_y
1 0.3666666667
2 0.4000000000
3 0.6000000000
18 0.6166666667
24 0.6500000000
180 0.6666666667
279 0.6833333333
329 0.7000000000
836 0.7166666667
1000 0.4000000000
evaluations raw_y
1 0.6000000000
2 0.6166666667
11 0.6666666667
72 0.6833333333
642 0.7000000000
1000 0.3833333333
evaluations raw_y
1 0.5500000000
5 0.5833333333
12 0.6333333333
33 0.6666666667
91 0.6833333333
139 0.7000000000
468 0.7333333333
1000 0.5166666667
evaluations raw_y
1 0.6333333333
14 0.6666666667
379 0.6833333333
677 0.7000000000
1000 0.4000000000
evaluations raw_y
1 0.3333333333
2 0.5666666667
4 0.5833333333
26 0.6333333333
36 0.6500000000
65 0.6666666667
270 0.7166666667
1000 0.5833333333
evaluations raw_y
1 0.5833333333
9 0.7000000000
173 0.7166666667
1000 0.6000000000
evaluations raw_y
1 0.5166666667
2 0.5833333333
13 0.6166666667
43 0.6333333333
104 0.6666666667
142 0.7000000000
1000 0.5166666667
