evaluations raw_y
1 26.0000000000
2 34.0000000000
16 37.0000000000
68 41.0000000000
552 42.0000000000
1000 31.0000000000
evaluations raw_y
1 29.0000000000
3 32.0000000000
10 33.0000000000
11 34.0000000000
12 39.0000000000
186 42.0000000000
1000 27.0000000000
evaluations raw_y
1 27.0000000000
2 32.0000000000
5 39.0000000000
152 40.0000000000
236 41.0000000000
625 42.0000000000
1000 25.0000000000
evaluations raw_y
1 33.0000000000
2 34.0000000000
26 37.0000000000
42 38.0000000000
84 39.0000000000
93 40.0000000000
1000 29.0000000000
evaluations raw_y
1 33.0000000000
3 34.0000000000
13 37.0000000000
67 40.0000000000
115 41.0000000000
1000 32.0000000000
evaluations raw_y
1 24.0000000000
2 29.0000000000
3 35.0000000000
52 38.0000000000
92 39.0000000000
141 45.0000000000
1000 29.0000000000
evaluations raw_y
1 34.0000000000
2 35.0000000000
57 36.0000000000
89 37.0000000000
105 38.0000000000
210 39.0000000000
769 40.0000000000
1000 24.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
5 33.0000000000
8 39.0000000000
62 40.0000000000
506 41.0000000000
957 42.0000000000
1000 28.0000000000
evaluations raw_y
1 30.0000000000
2 35.0000000000
17 37.0000000000
86 39.0000000000
255 40.0000000000
257 42.0000000000
1000 30.0000000000
evaluations raw_y
1 25.0000000000
2 27.0000000000
3 31.0000000000
9 34.0000000000
11 37.0000000000
32 40.0000000000
660 41.0000000000
1000 38.0000000000
